title,artist,album,rating,image_url
Where You Are,John Summit,Where You Are,Skipped,https://i.scdn.co/image/ab67616d0000b2731744223e31fd75e05a0f5f02
Can't Sleep - Vanic Remix,K.Flay,Can't Sleep (Vanic Remix),Skipped,https://i.scdn.co/image/ab67616d0000b273a9e3509b462310f9986ec243
Circles,machineheart,Circles,Skipped,https://i.scdn.co/image/ab67616d0000b273db1e5ff7951b85fc69312b81
Sacrifice,deadmau5,Kx5,Skipped,https://i.scdn.co/image/ab67616d0000b273ddd33bce31c72519c861d9db
Hold On Till May,Pierce The Veil,Collide With The Sky,Thumbs Down,https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570
Never Too Late,Three Days Grace,One-X,Thumbs Down,https://i.scdn.co/image/ab67616d0000b273fa4c18fdbd1bf1a39b7b794f
Savin' Me,Nickelback,All the Right Reasons (Special Edition),Thumbs Down,https://i.scdn.co/image/ab67616d0000b273105db7f723f33d9273fbf4d8
Cold,Crossfade,Crossfade,Thumbs Down,https://i.scdn.co/image/ab67616d0000b2736655dcd1e8b57d0022f856e6
The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Clean Version),Thumbs Down,https://i.scdn.co/image/ab67616d0000b2735aa75a47afe2804e280bd149
Props & Mayhem,Pierce The Veil,Collide With The Sky,Thumbs Down,https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570
